nir_no,date_time_of_analysis,test,cross,rows,color,plant_no,loc,year,moisture,oil_dry_basis,protein_dry_basis,bar_code
NIR-00002,2022-04-19T12:27:08Z,Mian SP F4:F5,Mx 18-1,7-13,Green,2,CLA,2021,7.44,19.82,44.82,2021_CLA_Mian SP F4:F5_Mx 18-1_2_Green_NIR-00002
NIR-00010,2022-04-19T12:28:06Z,Mian SP F4:F5,Mx 18-1,7-13,Green,10,CLA,2021,7.63,20.52,43.35,2021_CLA_Mian SP F4:F5_Mx 18-1_10_Green_NIR-00010
NIR-00014,2022-04-19T12:28:54Z,Mian SP F4:F5,Mx 18-1,7-13,Green,14,CLA,2021,6.91,21.59,42.14,2021_CLA_Mian SP F4:F5_Mx 18-1_14_Green_NIR-00014
NIR-00018,2022-04-19T12:29:42Z,Mian SP F4:F5,Mx 18-1,7-13,Green,18,CLA,2021,8.19,20.39,39.61,2021_CLA_Mian SP F4:F5_Mx 18-1_18_Green_NIR-00018
NIR-00023,2022-04-19T12:30:16Z,Mian SP F4:F5,Mx 18-1,7-13,Green,23,CLA,2021,7.76,19.54,45.12,2021_CLA_Mian SP F4:F5_Mx 18-1_23_Green_NIR-00023
NIR-00025,2022-04-19T12:30:58Z,Mian SP F4:F5,Mx 18-1,7-13,Green,25,CLA,2021,7.27,17.37,46.84,2021_CLA_Mian SP F4:F5_Mx 18-1_25_Green_NIR-00025
NIR-00030,2022-04-19T12:31:43Z,Mian SP F4:F5,Mx 18-1,7-13,Green,30,CLA,2021,7.74,18.79,44.95,2021_CLA_Mian SP F4:F5_Mx 18-1_30_Green_NIR-00030
NIR-00032,2022-04-19T12:32:18Z,Mian SP F4:F5,Mx 18-1,7-13,Green,32,CLA,2021,7.7,18.95,45.98,2021_CLA_Mian SP F4:F5_Mx 18-1_32_Green_NIR-00032
NIR-00033,2022-04-19T12:32:50Z,Mian SP F4:F5,Mx 18-1,7-13,Green,33,CLA,2021,8.18,20.4,43.95,2021_CLA_Mian SP F4:F5_Mx 18-1_33_Green_NIR-00033
NIR-00037,2022-04-19T12:33:32Z,Mian SP F4:F5,Mx 18-1,7-13,Green,37,CLA,2021,7,20.17,45.58,2021_CLA_Mian SP F4:F5_Mx 18-1_37_Green_NIR-00037
NIR-00048,2022-04-19T12:35:10Z,Mian SP F4:F6,Mx 18-2,14-20,Green,10,CLA,2021,7.17,20.23,43.16,2021_CLA_Mian SP F4:F6_Mx 18-2_10_Green_NIR-00048
NIR-00049,2022-04-19T12:35:48Z,Mian SP F4:F6,Mx 18-2,14-20,Green,11,CLA,2021,8.42,19.47,45.47,2021_CLA_Mian SP F4:F6_Mx 18-2_11_Green_NIR-00049
NIR-00050,2022-04-19T12:36:25Z,Mian SP F4:F6,Mx 18-2,14-20,Green,12,CLA,2021,6.91,17.83,46.7,2021_CLA_Mian SP F4:F6_Mx 18-2_12_Green_NIR-00050
NIR-00051,2022-04-19T12:36:50Z,Mian SP F4:F6,Mx 18-2,14-20,Green,13,CLA,2021,7.68,19.31,45.23,2021_CLA_Mian SP F4:F6_Mx 18-2_13_Green_NIR-00051
NIR-00053,2022-04-19T12:37:26Z,Mian SP F4:F6,Mx 18-2,14-20,Green,15,CLA,2021,7.13,18.05,48.53,2021_CLA_Mian SP F4:F6_Mx 18-2_15_Green_NIR-00053
NIR-00057,2022-04-19T12:38:00Z,Mian SP F4:F6,Mx 18-2,14-20,Green,19,CLA,2021,7.9,20.48,44.22,2021_CLA_Mian SP F4:F6_Mx 18-2_19_Green_NIR-00057
NIR-00069,2022-04-19T12:38:48Z,Mian SP F4:F6,Mx 18-2,14-20,Green,31,CLA,2021,6.79,19.26,46.82,2021_CLA_Mian SP F4:F6_Mx 18-2_31_Green_NIR-00069
NIR-00073,2022-04-19T12:39:24Z,Mian SP F4:F7,Mx 18-3,21-27,Green,4,CLA,2021,6.75,20.48,44.01,2021_CLA_Mian SP F4:F7_Mx 18-3_4_Green_NIR-00073
NIR-00074,2022-04-19T12:40:04Z,Mian SP F4:F7,Mx 18-3,21-27,Green,5,CLA,2021,7.74,18.47,46.2,2021_CLA_Mian SP F4:F7_Mx 18-3_5_Green_NIR-00074
NIR-00078,2022-04-19T12:40:38Z,Mian SP F4:F7,Mx 18-3,21-27,Green,9,CLA,2021,7.46,21.45,42.64,2021_CLA_Mian SP F4:F7_Mx 18-3_9_Green_NIR-00078
NIR-00079,2022-04-19T12:41:07Z,Mian SP F4:F7,Mx 18-3,21-27,Green,10,CLA,2021,6.38,16.68,48.45,2021_CLA_Mian SP F4:F7_Mx 18-3_10_Green_NIR-00079
NIR-00081,2022-04-19T12:41:43Z,Mian SP F4:F7,Mx 18-3,21-27,Green,12,CLA,2021,7.86,19.05,47.79,2021_CLA_Mian SP F4:F7_Mx 18-3_12_Green_NIR-00081
NIR-00084,2022-04-19T12:42:17Z,Mian SP F4:F7,Mx 18-3,21-27,Green,15,CLA,2021,7.98,19.93,44.36,2021_CLA_Mian SP F4:F7_Mx 18-3_15_Green_NIR-00084
NIR-00087,2022-04-19T12:42:53Z,Mian SP F4:F7,Mx 18-3,21-27,Green,18,CLA,2021,7.65,19.96,45.19,2021_CLA_Mian SP F4:F7_Mx 18-3_18_Green_NIR-00087
NIR-00093,2022-04-19T12:43:42Z,Mian SP F4:F7,Mx 18-3,21-27,Green,24,CLA,2021,7.17,16.15,47.89,2021_CLA_Mian SP F4:F7_Mx 18-3_24_Green_NIR-00093
NIR-00094,2022-04-19T12:44:28Z,Mian SP F4:F7,Mx 18-3,21-27,Green,25,CLA,2021,7.63,18.69,46.51,2021_CLA_Mian SP F4:F7_Mx 18-3_25_Green_NIR-00094
NIR-00100,2022-04-19T12:45:03Z,Mian SP F4:F7,Mx 18-3,21-27,Green,31,CLA,2021,7.99,17.88,47.79,2021_CLA_Mian SP F4:F7_Mx 18-3_31_Green_NIR-00100
NIR-00101,2022-04-19T12:45:35Z,Mian SP F4:F7,Mx 18-3,21-27,Green,32,CLA,2021,7.52,19.65,45.81,2021_CLA_Mian SP F4:F7_Mx 18-3_32_Green_NIR-00101
NIR-00103,2022-04-19T12:46:08Z,Mian SP F4:F7,Mx 18-3,21-27,Green,34,CLA,2021,6.82,19.62,45.12,2021_CLA_Mian SP F4:F7_Mx 18-3_34_Green_NIR-00103
NIR-00105,2022-04-19T12:46:37Z,Mian SP F4:F7,Mx 18-3,21-27,Green,36,CLA,2021,7.34,20.69,42.68,2021_CLA_Mian SP F4:F7_Mx 18-3_36_Green_NIR-00105
NIR-00114,2022-04-19T12:47:12Z,Mian SP F4:F7,Mx 18-3,21-27,Green,45,CLA,2021,8.72,17.64,49.43,2021_CLA_Mian SP F4:F7_Mx 18-3_45_Green_NIR-00114
NIR-00117,2022-04-19T12:47:44Z,Mian SP F4:F7,Mx 18-3,21-27,Green,48,CLA,2021,6.93,22.69,41.41,2021_CLA_Mian SP F4:F7_Mx 18-3_48_Green_NIR-00117
NIR-00118,2022-04-19T12:48:15Z,Mian SP F4:F7,Mx 18-3,21-27,Green,49,CLA,2021,7.14,17.75,46.81,2021_CLA_Mian SP F4:F7_Mx 18-3_49_Green_NIR-00118
NIR-00119,2022-04-19T12:48:41Z,Mian SP F4:F7,Mx 18-3,21-27,Green,50,CLA,2021,8.52,18.15,46.73,2021_CLA_Mian SP F4:F7_Mx 18-3_50_Green_NIR-00119
NIR-00121,2022-04-19T12:49:15Z,Mian SP F4:F7,Mx 18-3,21-27,Green,52,CLA,2021,7.42,19.83,46.04,2021_CLA_Mian SP F4:F7_Mx 18-3_52_Green_NIR-00121
NIR-00125,2022-04-19T12:50:14Z,Mian SP F4:F7,Mx 18-3,21-27,Green,56,CLA,2021,7.2,18.03,48.15,2021_CLA_Mian SP F4:F7_Mx 18-3_56_Green_NIR-00125
NIR-00126,2022-04-19T12:50:43Z,Mian SP F4:F7,Mx 18-3,21-27,Green,57,CLA,2021,7.15,18.33,45.83,2021_CLA_Mian SP F4:F7_Mx 18-3_57_Green_NIR-00126
NIR-00127,2022-04-19T12:51:10Z,Mian SP F4:F7,Mx 18-3,21-27,Green,58,CLA,2021,8.33,18.54,46.83,2021_CLA_Mian SP F4:F7_Mx 18-3_58_Green_NIR-00127
NIR-00130,2022-04-19T12:51:42Z,Mian SP F4:F7,Mx 18-3,21-27,Green,61,CLA,2021,6.96,20.15,43.4,2021_CLA_Mian SP F4:F7_Mx 18-3_61_Green_NIR-00130
NIR-00136,2022-04-19T12:52:41Z,Mian SP F4:F7,Mx 18-3,21-27,Green,67,CLA,2021,7.56,18.84,45.76,2021_CLA_Mian SP F4:F7_Mx 18-3_67_Green_NIR-00136
NIR-00137,2022-04-19T12:53:07Z,Mian SP F4:F7,Mx 18-3,21-27,Green,68,CLA,2021,7.86,19.82,46.2,2021_CLA_Mian SP F4:F7_Mx 18-3_68_Green_NIR-00137
NIR-00142,2022-04-19T12:53:47Z,Mian SP F4:F7,Mx 18-3,21-27,Green,73,CLA,2021,5.41,22.53,40.1,2021_CLA_Mian SP F4:F7_Mx 18-3_73_Green_NIR-00142
NIR-00146,2022-04-19T12:54:24Z,Mian SP F4:F7,Mx 18-3,21-27,Green,77,CLA,2021,7.22,18.2,47.51,2021_CLA_Mian SP F4:F7_Mx 18-3_77_Green_NIR-00146
NIR-00147,2022-04-19T12:54:50Z,Mian SP F4:F7,Mx 18-3,21-27,Green,78,CLA,2021,7.81,16.73,48.89,2021_CLA_Mian SP F4:F7_Mx 18-3_78_Green_NIR-00147
NIR-00148,2022-04-19T12:55:24Z,Mian SP F4:F8,Mx 18-4,28-34,Green,1,CLA,2021,7.78,17.98,47.2,2021_CLA_Mian SP F4:F8_Mx 18-4_1_Green_NIR-00148
NIR-00162,2022-04-19T12:56:13Z,Mian SP F4:F8,Mx 18-4,28-34,Green,15,CLA,2021,6.99,20.29,45.37,2021_CLA_Mian SP F4:F8_Mx 18-4_15_Green_NIR-00162
NIR-00173,2022-04-19T12:56:50Z,Mian SP F4:F8,Mx 18-4,28-34,Green,26,CLA,2021,6.79,18.67,46.32,2021_CLA_Mian SP F4:F8_Mx 18-4_26_Green_NIR-00173
NIR-00176,2022-04-19T12:57:19Z,Mian SP F4:F8,Mx 18-4,28-34,Green,29,CLA,2021,7.88,17.34,46.54,2021_CLA_Mian SP F4:F8_Mx 18-4_29_Green_NIR-00176
NIR-00177,2022-04-19T12:57:46Z,Mian SP F4:F8,Mx 18-4,28-34,Green,30,CLA,2021,7.39,20.09,44.31,2021_CLA_Mian SP F4:F8_Mx 18-4_30_Green_NIR-00177
NIR-00180,2022-04-19T12:59:54Z,Mian SP F4:F8,Mx 18-4,28-34,Green,33,CLA,2021,7.82,16.05,51.9,2021_CLA_Mian SP F4:F8_Mx 18-4_33_Green_NIR-00180
NIR-00181,2022-04-19T13:00:24Z,Mian SP F4:F8,Mx 18-4,28-34,Green,34,CLA,2021,7.61,18.7,48.24,2021_CLA_Mian SP F4:F8_Mx 18-4_34_Green_NIR-00181
NIR-00182,2022-04-19T13:01:00Z,Mian SP F4:F8,Mx 18-4,28-34,Green,35,CLA,2021,8.09,15.71,48.36,2021_CLA_Mian SP F4:F8_Mx 18-4_35_Green_NIR-00182
NIR-00183,2022-04-19T13:01:24Z,Mian SP F4:F8,Mx 18-4,28-34,Green,36,CLA,2021,6.89,18.36,45.94,2021_CLA_Mian SP F4:F8_Mx 18-4_36_Green_NIR-00183
NIR-00185,2022-04-19T13:01:51Z,Mian SP F4:F8,Mx 18-4,28-34,Green,38,CLA,2021,7.11,18.56,46.58,2021_CLA_Mian SP F4:F8_Mx 18-4_38_Green_NIR-00185
